Tahun;Bulan Rilis;Provinsi;Kode_Provinsi;Indeks_Ketersediaan;Indeks_Keterjangkauan;Indeks_Pemanfaatan;Indeks_Komposit
2022;Juli;Aceh;11;2;3;3;3
2022;Juli;Sumatera Utara;12;2;3;3;3
2022;Juli;Sumatera Barat;13;2;3;3;3
2022;Juli;Riau;14;2;3;3;3
2022;Juli;Jambi;15;2;3;3;3
2022;Juli;Sumatera Selatan;16;2;3;3;3
2022;Juli;Bengkulu;17;2;3;3;3
2022;Juli;Lampung;18;2;3;3;3
2022;Juli;Bangka Belitung;19;2;3;3;3
2022;Juli;Kepulauan Riau;21;2;3;3;3
2022;Juli;DKI Jakarta;31;2;3;3;3
2022;Juli;Jawa Barat;32;2;3;3;3
2022;Juli;Jawa Tengah;33;2;3;3;3
2022;Juli;DI Yogyakarta;34;2;3;3;3
2022;Juli;Jawa Timur;35;2;3;3;3
2022;Juli;Banten;36;2;3;3;3
2022;Juli;Bali;51;2;3;3;3
2022;Juli;Nusa Tenggara Barat;52;2;3;2;2
2022;Juli;Nusa Tenggara Timur;53;2;3;1;2
2022;Juli;Kalimantan Barat;61;2;3;3;3
2022;Juli;Kalimantan Tengah;62;3;3;3;3
2022;Juli;Kalimantan Selatan;63;3;3;3;3
2022;Juli;Kalimantan Timur;64;3;3;3;3
2022;Juli;Kalimantan Utara;65;2;3;3;3
2022;Juli;Sulawesi Utara;71;2;3;3;3
2022;Juli;Sulawesi Tengah;72;2;3;3;3
2022;Juli;Sulawesi Selatan;73;3;3;3;3
2022;Juli;Sulawesi Tenggara;74;2;3;3;3
2022;Juli;Gorontalo;75;2;3;3;3
2022;Juli;Sulawesi Barat;76;2;3;2;2
2022;Juli;Maluku;81;3;3;3;3
2022;Juli;Maluku Utara;82;2;3;3;3
2022;Juli;Papua Barat;92;3;3;2;3
2022;Juli;Papua;91;2;3;3;3
2022;Agustus;Aceh;11;1;3;3;2
2022;Agustus;Sumatera Utara;12;1;3;3;2
2022;Agustus;Sumatera Barat;13;1;3;3;2
2022;Agustus;Riau;14;3;3;3;3
2022;Agustus;Jambi;15;1;3;3;2
2022;Agustus;Sumatera Selatan;16;1;3;3;2
2022;Agustus;Bengkulu;17;2;3;3;3
2022;Agustus;Lampung;18;1;3;3;2
2022;Agustus;Bangka Belitung;19;2;3;3;3
2022;Agustus;Kepulauan Riau;21;2;3;3;3
2022;Agustus;DKI Jakarta;31;2;3;3;3
2022;Agustus;Jawa Barat;32;3;3;3;3
2022;Agustus;Jawa Tengah;33;2;3;3;3
2022;Agustus;DI Yogyakarta;34;3;3;3;3
2022;Agustus;Jawa Timur;35;3;3;3;3
