Provinsi,Ketersediaan,Keterjangkauan,Pemanfaatan,Komposit_Status,Tanggal
Aceh,2,3,3,3,2022-07-01
Sumatera Utara,2,3,3,3,2022-07-01
Sumatera Barat,2,3,3,3,2022-07-01
Riau,2,3,3,3,2022-07-01
Jambi,2,3,3,3,2022-07-01
Sumatera Selatan,2,3,3,3,2022-07-01
Bengkulu,2,3,3,3,2022-07-01
Lampung,2,3,3,3,2022-07-01
Bangka Belitung,2,3,3,3,2022-07-01
Kepulauan Riau,2,3,3,3,2022-07-01
DKI Jakarta,2,3,3,3,2022-07-01
Jawa Barat,2,3,3,3,2022-07-01
Jawa Tengah,2,3,3,3,2022-07-01
DI Yogyakarta,2,3,3,3,2022-07-01
Jawa Timur,2,3,3,3,2022-07-01
Banten,2,3,3,3,2022-07-01
Bali,2,3,3,3,2022-07-01
Nusa Tenggara Barat,2,3,2,2,2022-07-01
Nusa Tenggara Timur,2,3,1,2,2022-07-01
Kalimantan Barat,2,3,3,3,2022-07-01
Kalimantan Tengah,3,3,3,3,2022-07-01
Kalimantan Selatan,3,3,3,3,2022-07-01
Kalimantan Timur,3,3,3,3,2022-07-01
Kalimantan Utara,2,3,3,3,2022-07-01
Sulawesi Utara,2,3,3,3,2022-07-01
Sulawesi Tengah,2,3,3,3,2022-07-01
Sulawesi Selatan,3,3,3,3,2022-07-01
Sulawesi Tenggara,2,3,3,3,2022-07-01
Gorontalo,2,3,3,3,2022-07-01
Sulawesi Barat,2,3,2,2,2022-07-01
Maluku,3,3,3,3,2022-07-01
Maluku Utara,2,3,3,3,2022-07-01
Papua Barat,3,3,2,3,2022-07-01
Papua,2,3,3,3,2022-07-01
Aceh,1,3,3,2,2022-08-01
Sumatera Utara,1,3,3,2,2022-08-01
Sumatera Barat,1,3,3,2,2022-08-01
Riau,3,3,3,3,2022-08-01
Jambi,1,3,3,2,2022-08-01
Sumatera Selatan,1,3,3,2,2022-08-01
Bengkulu,2,3,3,3,2022-08-01
Lampung,1,3,3,2,2022-08-01
Bangka Belitung,2,3,3,3,2022-08-01
Kepulauan Riau,2,3,3,3,2022-08-01
DKI Jakarta,2,3,3,3,2022-08-01
Jawa Barat,3,3,3,3,2022-08-01
Jawa Tengah,2,3,3,3,2022-08-01
DI Yogyakarta,3,3,3,3,2022-08-01
Jawa Timur,3,3,3,3,2022-08-01
Banten,3,3,3,3,2022-08-01
Bali,2,3,3,3,2022-08-01
Nusa Tenggara Barat,3,3,2,3,2022-08-01
Nusa Tenggara Timur,2,3,1,2,2022-08-01
Kalimantan Barat,3,3,3,3,2022-08-01
Kalimantan Tengah,2,3,3,3,2022-08-01
Kalimantan Selatan,2,3,3,3,2022-08-01
Kalimantan Timur,2,3,3,3,2022-08-01
Kalimantan Utara,2,3,3,3,2022-08-01
Sulawesi Utara,2,3,3,3,2022-08-01
Sulawesi Tengah,1,3,3,2,2022-08-01
Sulawesi Selatan,2,3,3,3,2022-08-01
Sulawesi Tenggara,2,3,3,3,2022-08-01
Gorontalo,3,3,3,3,2022-08-01
Sulawesi Barat,2,3,2,2,2022-08-01
Maluku,2,3,3,3,2022-08-01
Maluku Utara,2,3,3,3,2022-08-01
Papua Barat,2,3,2,2,2022-08-01
Papua,2,3,3,3,2022-08-01
Aceh,2,3,3,3,2022-09-01
Sumatera Utara,2,3,3,3,2022-09-01
Sumatera Barat,2,3,3,3,2022-09-01
Riau,2,3,3,3,2022-09-01
Jambi,2,3,3,3,2022-09-01
Sumatera Selatan,3,3,3,3,2022-09-01
Bengkulu,2,3,3,3,2022-09-01
Lampung,3,3,3,3,2022-09-01
Bangka Belitung,2,3,3,3,2022-09-01
Kepulauan Riau,2,3,3,3,2022-09-01
DKI Jakarta,2,3,3,3,2022-09-01
Jawa Barat,3,3,3,3,2022-09-01
Jawa Tengah,3,3,3,3,2022-09-01
DI Yogyakarta,3,3,3,3,2022-09-01
Jawa Timur,3,3,3,3,2022-09-01
Banten,3,3,3,3,2022-09-01
Bali,2,3,3,3,2022-09-01
Nusa Tenggara Barat,3,3,3,3,2022-09-01
Nusa Tenggara Timur,2,3,1,2,2022-09-01
Kalimantan Barat,2,3,2,2,2022-09-01
Kalimantan Tengah,3,3,3,3,2022-09-01
Kalimantan Selatan,3,3,3,3,2022-09-01
Kalimantan Timur,3,3,3,3,2022-09-01
Kalimantan Utara,2,3,3,3,2022-09-01
Sulawesi Utara,2,3,3,3,2022-09-01
Sulawesi Tengah,2,3,3,3,2022-09-01
Sulawesi Selatan,3,3,3,3,2022-09-01
Sulawesi Tenggara,2,3,3,3,2022-09-01
Gorontalo,3,3,3,3,2022-09-01
Sulawesi Barat,2,3,2,2,2022-09-01
Maluku,3,3,3,3,2022-09-01
Maluku Utara,2,3,3,3,2022-09-01
Papua Barat,3,3,2,3,2022-09-01
Papua,3,3,3,3,2022-09-01
Aceh,2,3,3,3,2022-10-01
Sumatera Utara,2,3,3,3,2022-10-01
Sumatera Barat,2,3,3,3,2022-10-01
Riau,2,3,3,3,2022-10-01
Jambi,2,3,3,3,2022-10-01
Sumatera Selatan,2,3,3,3,2022-10-01
Bengkulu,2,3,3,3,2022-10-01
Lampung,3,3,3,3,2022-10-01
Bangka Belitung,2,3,3,3,2022-10-01
Kepulauan Riau,2,3,3,3,2022-10-01
DKI Jakarta,3,3,3,3,2022-10-01
Jawa Barat,3,3,3,3,2022-10-01
Jawa Tengah,2,3,2,2,2022-10-01
DI Yogyakarta,2,3,2,2,2022-10-01
Jawa Timur,2,3,3,3,2022-10-01
Banten,3,3,3,3,2022-10-01
Bali,2,3,3,3,2022-10-01
Nusa Tenggara Barat,2,3,2,2,2022-10-01
Nusa Tenggara Timur,3,3,1,2,2022-10-01
Kalimantan Barat,2,3,1,2,2022-10-01
Kalimantan Tengah,3,3,3,3,2022-10-01
Kalimantan Selatan,3,3,2,3,2022-10-01
Kalimantan Timur,3,3,2,3,2022-10-01
Kalimantan Utara,2,3,3,3,2022-10-01
Sulawesi Utara,2,3,3,3,2022-10-01
Sulawesi Tengah,2,3,2,2,2022-10-01
Sulawesi Selatan,3,3,3,3,2022-10-01
Sulawesi Tenggara,2,3,3,3,2022-10-01
Gorontalo,2,3,2,2,2022-10-01
Sulawesi Barat,2,3,1,2,2022-10-01
Maluku,3,3,3,3,2022-10-01
Maluku Utara,2,3,2,2,2022-10-01
Papua Barat,3,3,1,2,2022-10-01
Papua,3,3,2,3,2022-10-01
Aceh,3,3,3,3,2022-11-01
Sumatera Utara,2,3,3,3,2022-11-01
Sumatera Barat,2,3,3,3,2022-11-01
Riau,2,3,3,3,2022-11-01
Jambi,2,3,3,3,2022-11-01
Sumatera Selatan,2,3,3,3,2022-11-01
Bengkulu,2,3,3,3,2022-11-01
Lampung,2,3,3,3,2022-11-01
Bangka Belitung,2,3,3,3,2022-11-01
Kepulauan Riau,2,3,3,3,2022-11-01
DKI Jakarta,3,3,3,3,2022-11-01
Jawa Barat,3,3,3,3,2022-11-01
Jawa Tengah,3,3,2,3,2022-11-01
DI Yogyakarta,3,3,2,3,2022-11-01
Jawa Timur,3,3,3,3,2022-11-01
Banten,3,3,3,3,2022-11-01
Bali,3,3,3,3,2022-11-01
Nusa Tenggara Barat,3,3,1,2,2022-11-01
Nusa Tenggara Timur,2,3,1,2,2022-11-01
Kalimantan Barat,2,3,2,2,2022-11-01
Kalimantan Tengah,2,3,3,3,2022-11-01
Kalimantan Selatan,2,3,2,2,2022-11-01
Kalimantan Timur,2,3,2,2,2022-11-01
Kalimantan Utara,2,3,2,2,2022-11-01
Sulawesi Utara,2,3,3,3,2022-11-01
Sulawesi Tengah,2,3,2,2,2022-11-01
Sulawesi Selatan,3,3,2,3,2022-11-01
Sulawesi Tenggara,3,3,3,3,2022-11-01
Gorontalo,3,3,3,3,2022-11-01
Sulawesi Barat,2,3,1,2,2022-11-01
Maluku,2,3,3,3,2022-11-01
Maluku Utara,2,3,2,2,2022-11-01
Papua Barat,3,3,1,2,2022-11-01
Papua,3,3,2,3,2022-11-01
Aceh,2,3,3,3,2022-12-01
Sumatera Utara,2,3,3,3,2022-12-01
Sumatera Barat,2,3,3,3,2022-12-01
Riau,3,3,3,3,2022-12-01
Jambi,2,3,3,3,2022-12-01
Sumatera Selatan,3,3,3,3,2022-12-01
Bengkulu,2,3,3,3,2022-12-01
Lampung,2,3,3,3,2022-12-01
Bangka Belitung,2,3,3,3,2022-12-01
Kepulauan Riau,2,3,3,3,2022-12-01
DKI Jakarta,3,3,3,3,2022-12-01
Jawa Barat,3,3,3,3,2022-12-01
Jawa Tengah,3,3,2,3,2022-12-01
DI Yogyakarta,2,3,2,2,2022-12-01
Jawa Timur,3,3,3,3,2022-12-01
Banten,3,3,3,3,2022-12-01
Bali,3,3,3,3,2022-12-01
Nusa Tenggara Barat,3,3,1,2,2022-12-01
Nusa Tenggara Timur,2,3,1,2,2022-12-01
Kalimantan Barat,2,3,2,2,2022-12-01
Kalimantan Tengah,2,3,3,3,2022-12-01
Kalimantan Selatan,2,3,2,2,2022-12-01
Kalimantan Timur,2,3,2,2,2022-12-01
Kalimantan Utara,2,3,2,2,2022-12-01
Sulawesi Utara,2,3,3,3,2022-12-01
Sulawesi Tengah,2,3,2,2,2022-12-01
Sulawesi Selatan,2,3,2,2,2022-12-01
Sulawesi Tenggara,3,3,3,3,2022-12-01
Gorontalo,3,3,2,3,2022-12-01
Sulawesi Barat,2,3,1,2,2022-12-01
Maluku,3,3,2,3,2022-12-01
Maluku Utara,2,3,2,2,2022-12-01
Papua Barat,3,3,1,2,2022-12-01
Papua,3,3,2,3,2022-12-01
Aceh,2,3,3,3,2023-01-01
Sumatera Utara,2,3,3,3,2023-01-01
Sumatera Barat,3,3,3,3,2023-01-01
Riau,3,3,3,3,2023-01-01
Jambi,2,3,3,3,2023-01-01
Sumatera Selatan,3,3,3,3,2023-01-01
Bengkulu,2,3,3,3,2023-01-01
Lampung,2,3,3,3,2023-01-01
Bangka Belitung,2,3,3,3,2023-01-01
Kepulauan Riau,2,3,3,3,2023-01-01
DKI Jakarta,3,3,3,3,2023-01-01
Jawa Barat,2,3,3,3,2023-01-01
Jawa Tengah,3,3,2,3,2023-01-01
DI Yogyakarta,3,3,2,3,2023-01-01
Jawa Timur,2,3,3,3,2023-01-01
Banten,2,3,3,3,2023-01-01
Bali,2,3,3,3,2023-01-01
Nusa Tenggara Barat,2,3,2,2,2023-01-01
Nusa Tenggara Timur,2,3,1,2,2023-01-01
Kalimantan Barat,3,3,2,3,2023-01-01
Kalimantan Tengah,2,3,3,3,2023-01-01
Kalimantan Selatan,2,3,2,2,2023-01-01
Kalimantan Timur,2,3,2,2,2023-01-01
Kalimantan Utara,3,3,2,3,2023-01-01
Sulawesi Utara,2,3,3,3,2023-01-01
Sulawesi Tengah,2,3,2,2,2023-01-01
Sulawesi Selatan,2,3,2,2,2023-01-01
Sulawesi Tenggara,2,3,3,3,2023-01-01
Gorontalo,3,3,3,3,2023-01-01
Sulawesi Barat,2,3,1,2,2023-01-01
Maluku,2,3,2,2,2023-01-01
Maluku Utara,2,3,2,2,2023-01-01
Papua Barat,3,3,1,2,2023-01-01
Papua,3,3,2,3,2023-01-01
Aceh,1,3,3,2,2023-02-01
Sumatera Utara,1,3,3,2,2023-02-01
Sumatera Barat,2,3,3,3,2023-02-01
Riau,3,3,3,3,2023-02-01
Jambi,2,3,3,3,2023-02-01
Sumatera Selatan,2,3,3,3,2023-02-01
Bengkulu,2,3,3,3,2023-02-01
Lampung,2,3,3,3,2023-02-01
Bangka Belitung,3,3,3,3,2023-02-01
Kepulauan Riau,2,3,3,3,2023-02-01
DKI Jakarta,2,3,3,3,2023-02-01
Jawa Barat,1,3,3,2,2023-02-01
Jawa Tengah,1,3,3,2,2023-02-01
DI Yogyakarta,2,3,2,2,2023-02-01
Jawa Timur,2,3,3,3,2023-02-01
Banten,1,3,3,2,2023-02-01
Bali,2,3,3,3,2023-02-01
Nusa Tenggara Barat,2,3,1,2,2023-02-01
Nusa Tenggara Timur,2,3,1,2,2023-02-01
Kalimantan Barat,3,3,2,3,2023-02-01
Kalimantan Tengah,3,3,3,3,2023-02-01
Kalimantan Selatan,2,3,2,2,2023-02-01
Kalimantan Timur,2,3,2,2,2023-02-01
Kalimantan Utara,2,3,2,2,2023-02-01
Sulawesi Utara,2,3,3,3,2023-02-01
Sulawesi Tengah,2,3,2,2,2023-02-01
Sulawesi Selatan,1,3,2,2,2023-02-01
Sulawesi Tenggara,2,3,3,3,2023-02-01
Gorontalo,2,3,3,3,2023-02-01
Sulawesi Barat,2,3,1,2,2023-02-01
Maluku,2,3,2,2,2023-02-01
Maluku Utara,2,3,2,2,2023-02-01
Papua Barat,2,3,1,2,2023-02-01
Papua,2,3,2,2,2023-02-01
Aceh,3,3,3,3,2023-03-01
Sumatera Utara,3,3,3,3,2023-03-01
Sumatera Barat,2,3,3,3,2023-03-01
Riau,3,3,3,3,2023-03-01
